Термин,Значение
Тренажерный комплекс,"Тренажерный комплекс для приобретения практических навыков безопасного выполнения работ, предупреждения аварий и ликвидации их последствий на технологических объектах, содержащие максимально приближенные к реальным динамические модели процессов и реальные средства управления (функциональные клавиатуры, графические экранные формы)"
инспекционная проверка OCIMF,Проверка судна в соответствии с программой инспекции Международного морского форума нефтяных компаний (OCIMF)
РКО,Российское классификационное общество
маломерное судно,"Судно, длинна которого не превышает 20 м. и общее количество людей на котором не должно превышать 12"
несамоходное плавтехсредство,"Дебаркадер, плавучие (находящиеся на воде) дом, гостиница, ресторан, понтон, плот, наплавной мост, плавучий причал, и другие технические сооружения подобного рода."
самоходное плавтехсредство,Судно имеющее технические средства (двигатель) для самостоятельного плавания
ТО,Техническое обслуживание
SOLAS,Международная конвенция по охране человеческой жизни на море (с англ. Safety of Life at Sea) 
STCW,Международная конвенция о подготовке и дипломировании моряков и несении вахты
Конвенция ПДНВ,Международная конвенция о подготовке и дипломировании моряков и несении вахты
формат P&ID,"Является графическим представлением процесса или системы в промышленном проектировании. Включает в себя информацию о трубопроводах, приборах, контрольных клапанах, инструментах и других элементах, которые используются в системе."
АРМ,"Автоматизированное рабочее место, система в которой необходимые для работы программы объединены в одну среду под управлением специализированного программного обеспечения"
Шкаф управления,"Предназначен для регулирования технологического процесса, содержит информацию о состоянии оборудования, имеет элементы управления оборудованием"
КИПиА,Контрольно-измерительные приборы и автоматика
помещение ГРП,Помещение газораспределительного пункта
ПАЗ,Противоаварийная защита
АСУТП,Автоматическая система управления технологическим процессом
ЦПУ,Центральный пункт управления
ППК,Предохранительный пружинный клапан
СППК,Сбросной предохранительный пружинный клапан
ПНР,Пуско-наладочные работы
УТЗ,Учебно-тренировочное занятие
ГЖ,Горючие жидкости
ЛВЖ,Легковоспламеняющиеся жидкости
РК,Радиографический контроль
УЗК,ультразвуковой контроль
ОРД,Организационно-распорядительный документ
1С:ПБ,Информационная система по производственной безопасности
IT-система,Электронная информационная система
ВОЗ,Внешняя оценка знаний
ВСР,Внутрискважинные работы
ГНВП,Газонефтеводопроявление
ГРП,Гидроразрыв пласта
ДВНМ,Блок директора по вводу новых мощностей
ДО,Дочернее общество
ЛЭП,Линия электропередачи
МУБ,Место установки барьера
НКПР,Нижний концентрационный предел распространения пламени
ПБ,Производственная безопасность
ПДК ,Предельно допустимая концентрация
ПО,Подрядная организация
ППР,План производства работ 
прокторинг,Технология контроля действий работников во время прохождения тестирования и других экзаменов в онлайне
СИЗ,Средство индивидуальной защиты
СИЗОД,Средство индивидуальной защиты органов дыхания
ТК,Технологическая карта
ТКРС,"Текущий, капитальный ремонт скважин"
ТРС,Текущий ремонт скважин
ТС,Транспортное средство
ЖК,Жидко кристаллический
УВ-растворы,Растворы на углеводородной основе
Газосепаратор,Оборудование выполняющее очистку промывочной жидкости от газа
ГНКТ,Гибкая насосно-компрессорная труба
АСУ НПХ,Автоматизированная система управления нефтепромысловой химией
Статический уровень жидкости в скважине,Это расстояние от устья скважины до поверхности жидкости в скважине в состоянии покоя
Эхолот,Прибор предназначенный для измерения уровня жидкости в затрубном пространстве скважины методом акустической эхолокации
НАУС,Национальная ассоциация по управлению скважиной
Грузовая тара,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
ППРК,План производства работ краном
АЗС,Автомобильная заправочная станция
ВГСО,Военизированный горноспасательный отряд
ГСС,Газоспасательная служба
ЖБО,Жидкие бытовые отходы
ИП,Индивидуальный предприниматель
МВД,Министерство внутренних дел
МЧС,Министерство по чрезвычайным ситуациям
НПЗ,Нефтеперерабатывающий завод
ТКО,Твердые коммунальные отходы
ФСБ,Федеральная служба безопасности
ФСО,Федеральная служба охраны
ЧП,Частный предприниматель 
SCORE,"SCORE (Systemic Coronary Risk Estimation) — шкала оценки риска, призванная помочь медицинским работникам в оценке степени риска смерти пациента в результате инфаркта миокарда, сердечной недостаточности или инсульта в течение следующих десяти лет."
ACLS,(англ. Advanced Cardiac Life Support ) Расширенная сердечно-легочная реанимация 
ALS,(англ. Advanced life support) Курс расширенной реанимации
BLS,(англ. Basic Life Support ) Базовая реанимация
АНД,Автоматический наружный дефибриллятор
РНД,Ручной наружный дефибриллятор
ДИ,Должностная инструкция
ЭМР,Экстренное медицинское реагирование
ПЭМР,План экстренного медицинского реагирования
ЦПП,Центр профпатологии
АСУ ТОИР,Автоматизированная система управления техобслуживанием и ремонтами оборудования
КЛАД,Корпоративная платформа анализа данных
СБ,Система безопасности
РСУ,Резервные системы управления
ФГИС «Аршин»,"Федеральная государственная информационная система ""Аршин"" - онлайн система, выполняющая законодательные нормы  о единстве средств измерения"
АУП,Автоматическая установка пожаротушения
СОУЭ,Система оповещения и управления эвакуацией
СПС,Система пожарной сигнализации
ДА,Дыхательный аппарат
ПШ,Противогаз шланговый
Система удержания,"Предназначена исключить возможность падение работника с высоты путем ограничения его перемещений стропом, длина которого не позволяет подойти работнику к перепаду по высоте"
Страховочная система,Предназначена для безопасной остановки падения работника
ПАСФ,Профессиональное аварийно-спасательное формирование
ЧС,Чрезвычайная ситуация
ЭНД,Электронный наряд-допуск
БУ,Буровая установка
ПА,Подъемный агрегат
АСС,Аварийно-спасательная служба
АСФ,Аварийно-спасательное формирование
НАСФ,Нештатное аварийно-спасательное формирование
МБУ,Морская буровая установка
ПБУ,Плавучая буровая установка
ПФБ,Противофонтанная безопасность
ППВО,Подводное противовыбросовое оборудование
ТВЧ,Токоведущие части
ВЛЭП,Воздушная линия электропередачи
КЛЭП,Кабельная линия электропередачи
РЗА,Релейная защита и автоматика
ВЛ,Воздушная линия
КЛ,Кабельная линия
РЕ проводник,"Защитный проводник, предназначен для снижения напряжения прикосновения в случае выноса потенциала на проводящие поверхности электроприемника"
ЗРУ,Закрытые распределительное устройство
КРУ,Комплектное распределительное устройство
ОРУ,Открытое распределительное устройство
ЭО/ ЭУ,Электрооборудование/ электроустановки
САРП (ARPA),"Средства автоматической радиолокационной прокладки (англ. Automatic Radar Plotting Aids) — это радиолокационно-вычислительные системы, обеспечивающие автоматическое сопровождение эхо-сигналов целей, первичную и вторичную обработку радиолокационной информации, выдачу судоводителю всех данных, необходимых для непрерывной оценки навигационной ситуации и решения задач обеспечения навигационной безопасности."
САС (ATA),"Средства автосопровождения , это упрощенный вид САРП"
АТКОН,Арктический терминал круглогодичной отгрузки нефти
ГЭЭ ,Государственная экологическая экспертиза
АСД,Аварийно-спасательное дежурство 
КУ,Комплексное учение
ТУ,Тренировочное учение
ТСУ,Тактико-специальное учение
КЧС ,Комиссия по чрезвычайным ситуациям
формы Е-1/,"Данные о квалификационных отметках членов летных экипажей представленные в табличной форме (допускается в электронном виде)
"
копией формы Е-1,"Данные о квалификационных отметках членов летных экипажей представленные в табличной форме (допускается в электронном виде)
"
по форме Е-1,"Данные о квалификационных отметках членов летных экипажей представленные в табличной форме (допускается в электронном виде)
"
тренажере вертолета категории D,"Комплексный тренажер вертолета  с системой подвижности.
Тренажеры оборудованы современной системой визуализации, обеспечивающей высочайшее качество отображения закабинного пространства, в том числе с возможностью имитации группового полета. Помимо этого, тренажеры оснащены комплектом бортового радиоэлектронного оборудования в составе: TDS-56, TDS-84, TSS, TTA-12H и AD-32.
"
«Программа CRM»,"Программа по изучению системы управления возможностями экипажа  в ситуациях, в которых человеческая ошибка может привести к катастрофе. Программа CRM акцентируется не на технических знаниях, а на взаимоотношении членов экипажа в одной кабине, включая лидерство и принятие решений."
CRM,"Программа по изучению системы управления возможностями экипажа  в ситуациях, в которых человеческая ошибка может привести к катастрофе. Программа CRM акцентируется не на технических знаниях, а на взаимоотношении членов экипажа в одной кабине, включая лидерство и принятие решений."
КВС-инструктора,"КВС имеющий квалификационную отметку ""пилот-инструктор"" в свидетельстве пилота или специальное разрешение уполномоченного органа."
/КВС-инструктора,"КВС имеющий квалификационную отметку ""пилот-инструктор"" в свидетельстве пилота или специальное разрешение уполномоченного органа."
ПВП (д) не более 150х2000х25,"Допуск КВС к метеоминимуму, полет выполняется по правилам визуальных полетов (днем) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -150 м и более; 
- видимость по горизонтали - 2000 м и более; 
- скорость ветра не более 25 м/с."
по ПВП (д) не более 150х2000х25,"Допуск КВС к метеоминимуму, полет выполняется по правилам визуальных полетов (днем) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -150 м и более; 
- видимость по горизонтали - 2000 м и более; 
- скорость ветра не более 25 м/с."
ПВП (д),"Допуск КВС к метеоминимуму, полет выполняется по правилам визуальных полетов (днем) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -150 м и более; 
- видимость по горизонтали - 2000 м и более; 
- скорость ветра не более 25 м/с."
ПВП (д) не более 150*2000*25,"Допуск КВС к метеоминимуму, полет выполняется по правилам визуальных полетов (днем) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -150 м и более; 
- видимость по горизонтали - 2000 м и более; 
- скорость ветра не более 25 м/с."
по ПВП (н) не более 450х4000х25,"Допуск КВС к метоминимуму, полет выполняется по правилам визуальных полетов (ночью) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -450 м и более; 
- видимость по горизонтали - 4000 м и более; 
- скорость ветра не более 25 м/с."
ПВП (н) не более 450х4000х25,"Допуск КВС к метоминимуму, полет выполняется по правилам визуальных полетов (ночью) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -450 м и более; 
- видимость по горизонтали - 4000 м и более; 
- скорость ветра не более 25 м/с."
ПВП (н) не более 450*4000*25,"Допуск КВС к метоминимуму, полет выполняется по правилам визуальных полетов (ночью) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -450 м и более; 
- видимость по горизонтали - 4000 м и более; 
- скорость ветра не более 25 м/с."
"ППП,","Допуск пилота к метеоминимуму, полет выполняется по правилам полетов по приборам."
ППП/,"Допуск пилота к метеоминимуму, полет выполняется по правилам полетов по приборам."
(аэронавигационный паспорт посадочной площадки),"Аэронавигационный паспорт посадочной площадки - документ, состоящий из действующей аэронавигационной информации по данной вертолетной площадке с указанием характеристик вертолетной площадки, состава оборудования (или его отсутствия), данные для осуществления полетов на ВП"
АНППП/,"Аэронавигационный паспорт посадочной площадки - документ, состоящий из действующей аэронавигационной информации по данной вертолетной площадке с указанием характеристик вертолетной площадки, состава оборудования (или его отсутствия), данные для осуществления полетов на ВП"
"АНППП,","Аэронавигационный паспорт посадочной площадки - документ, состоящий из действующей аэронавигационной информации по данной вертолетной площадке с указанием характеристик вертолетной площадки, состава оборудования (или его отсутствия), данные для осуществления полетов на ВП"
"TLOF,","TLOF  (зона приземления и отрыва) - это несущая площадка, обычно с центром в FATO, на которую приземляется и / или взлетает вертолет. Выполняется в виде круга с обозначением Н по центру. "
TLOF/,"TLOF  (зона приземления и отрыва) - это несущая площадка, обычно с центром в FATO, на которую приземляется и / или взлетает вертолет. Выполняется в виде круга с обозначением Н по центру. "
FATO/,"FATO  (зона конечного захода на посадку и взлета) - это определенная зона, над которой пилот завершает заключительную фазу захода на зависание или посадку и с которой пилот начинает взлет."
"FATO,","FATO  (зона конечного захода на посадку и взлета) - это определенная зона, над которой пилот завершает заключительную фазу захода на зависание или посадку и с которой пилот начинает взлет."
закрытого сектора для взлета,"Участок воздушного пространства в районе ПП, запрещенный к использованию для взлета и посадки вертолета по причине наличия препятствий (неподвижные (временные или постоянные) и подвижные объекты или их части выходящие за пределы установленных норм). Не должен превышать 150 °."
закрытый сектор взлета,"Участок воздушного пространства в районе ПП, запрещенный к использованию для взлета и посадки вертолета по причине наличия препятствий (неподвижные (временные или постоянные) и подвижные объекты или их части выходящие за пределы установленных норм). Не должен превышать 150 °."
"ГНКТ,",гибкая насосно-компрессорная труба
ГНКТ/,гибкая насосно-компрессорная труба
ТКРС/,"текущий, капитальный ремонт скважин"
"ТКРС,","текущий, капитальный ремонт скважин"
ГНВП/,газонефтеводопроявление
"ГНВП,",газонефтеводопроявление
ВСР/,внутрискваженные работы
"ВСР,",внутрискваженные работы
Литерные рейсы,"Особо важные полеты (рейсы) литера ""А"" и литера ""К"""
Интерлок,"Система, предназначенная для предотвращения перемещения (откатывания) топливозаправщика аэродромного во время заправки авиатопливом воздушного судна"
«Интерлок»,"Система, предназначенная для предотвращения перемещения (откатывания) топливозаправщика аэродромного во время заправки авиатопливом воздушного судна"
система «Интерлок»,"Система, предназначенная для предотвращения перемещения (откатывания) топливозаправщика аэродромного во время заправки авиатопливом воздушного судна"
/HAZOP,"анализ опасности и работоспособности (HAZOP) (от англ. HAZard and OPerability, Опасность и Работоспособность): качественный метод анализа опасности и работоспособности производственных объектов с помощью моделирования отклонений технологических параметров от проектных значений."
"HAZOP,","анализ опасности и работоспособности (HAZOP) (от англ. HAZard and OPerability, Опасность и Работоспособность): качественный метод анализа опасности и работоспособности производственных объектов с помощью моделирования отклонений технологических параметров от проектных значений."
"/PHSER, PHSER,","анализ проекта в области производственной безопасности (PHSER, англ.: Project   Health, Safety and Environment Review): обзор проекта/объекта на предмет контроля рисков ПБ и его соответствия требованиям ПБ"
"/РКО, РКО,",Российское классификационное общество
грузовой таре,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
грузовой тары,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
грузовую тару,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
грузовая тара,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
тары,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
Грузовая тара ,"Это металлическая конструкция (емкость, контейнер) для перемещения  в ней груза, имеющая днище и борта, исключающие выпадение груза, строповочные элементы (проушины, кольца, петли и
т.п.) для подвешивания к подъёмному сооружению"
ППР/,План производства работ 
"ППР,",План производства работ 
ППР,План производства работ 
автоматизированной системе проверки знаний,"Это технология на базе искусственного интелекта, воссоздающая ситуация контролируемого экзамена во время онлайн-тестирования"
автоматизированного прокторинга,"Это технология на базе искусственного интелекта, воссоздающая ситуация контролируемого экзамена во время онлайн-тестирования"
автоматизированный прокторинг,"Это технология на базе искусственного интелекта, воссоздающая ситуация контролируемого экзамена во время онлайн-тестирования"
" BLS,","BLS (basic life support) - курс базовой реанимации
"
BLS/,"BLS (basic life support) - курс базовой реанимации
"
ALS/,ALS (advanced life support)  - курс расширенной реанимации
"ALS,",ALS (advanced life support)  - курс расширенной реанимации
"ACLS, ACLS/",ACLS (advance cardiovascular life support) - курс расширенной реанимации
ACLS/,ACLS (advance cardiovascular life support) - курс расширенной реанимации
"ACLS,",ACLS (advance cardiovascular life support) - курс расширенной реанимации
"ПЭМР,",План Экстренного Медицинского Реагирования
ПЭМР/,План Экстренного Медицинского Реагирования
ОРД о выводе из эксплуатации,Организационно-распорядительный документ/ Должностная инструкция
ОРД ДО,Организационно-распорядительный документ/ Должностная инструкция
ОРД/ ДИ,Организационно-распорядительный документ/ Должностная инструкция
ДСУОД и ПБ БРД,Корпоративный центр функции производственной безопасности и системы управления операционной деятельностью разведки и добычи
ДСУОД и ПБ БРД/,Корпоративный центр функции производственной безопасности и системы управления операционной деятельностью разведки и добычи
ДПБ БЛПС,"Корпоративный центр функции производственной безопасности логистики, переработки и сбыта"
ДПБ БЛПС/,"Корпоративный центр функции производственной безопасности логистики, переработки и сбыта"
"1С:ПБ,",Программа по автоматизации бизнес-процессов в части производственной безопасности
1С:ПБ/,Программа по автоматизации бизнес-процессов в части производственной безопасности
"ЦПП,",Центр профпатологии
ЦПП/,Центр профпатологии
(класс функциональной пожарной опасности Ф4.3.),"Здания органов управления учреждений, проектно-конструкторских организаций, информационных и редакционно-издательских организаций, научных организаций, банков, контор, офисов (согласно классификации зданий, сооружений и пожарных отсеков по функциональной пожарной опасности из Технического регламента о требованиях пожарной безопансости)"
класс функциональной пожарной опасности Ф4.3.,"Здания органов управления учреждений, проектно-конструкторских организаций, информационных и редакционно-издательских организаций, научных организаций, банков, контор, офисов (согласно классификации зданий, сооружений и пожарных отсеков по функциональной пожарной опасности из Технического регламента о требованиях пожарной безопансости)"
(1СПБ:ЭНД,Программа по автоматизации бизнес-процессов в части создания электронного наряда-допуска
1СПБ:ЭНД,Программа по автоматизации бизнес-процессов в части создания электронного наряда-допуска
"ЭНД,",Электронный наряд-допуск
ЭНД/,Электронный наряд-допуск
системы непрерывной страховки,Это непрерывная связь работника с точкой крепления при использовании страховочной или удерживающей системы
непрерывной страховки ручного инструмента,Это непрерывная связь работника с точкой крепления при использовании страховочной или удерживающей системы
Система страховки,Это непрерывная связь работника с точкой крепления при использовании страховочной или удерживающей системы
Система удержания или страховочная система,Это непрерывная связь работника с точкой крепления при использовании страховочной или удерживающей системы
Система непрерывной страховки,Это непрерывная связь работника с точкой крепления при использовании страховочной или удерживающей системы
водоохранной зоне,"Водоохранная зона -территории, примыкающаяк береговой линии (границам водного объекта) морей, рек, ручьев, каналов, озер, водохранилищ и на которой устанавливается специальный режим осуществления хозяйственной и иной деятельности в целях предотвращения загрязнения, засорения, заиления указанных водных объектов и истощения их вод, а также сохранения среды обитания водных биологических ресурсов и других объектов животного и растительного мира.
Водоохранная зона рек федерального значения равна 200м, водоохранная зона морей - 500м."
Водоохранная зона,"Водоохранная зона -территории, примыкающаяк береговой линии (границам водного объекта) морей, рек, ручьев, каналов, озер, водохранилищ и на которой устанавливается специальный режим осуществления хозяйственной и иной деятельности в целях предотвращения загрязнения, засорения, заиления указанных водных объектов и истощения их вод, а также сохранения среды обитания водных биологических ресурсов и других объектов животного и растительного мира.
Водоохранная зона рек федерального значения равна 200м, водоохранная зона морей - 500м."
геодезической съемки,"Геодезическая съемка — это процесс измерения, определения географических координат (широты, долготы, высоты) и геометрических параметров (расстояний, углов) точек на земной поверхности."
Геодезическая съемка,"Геодезическая съемка — это процесс измерения, определения географических координат (широты, долготы, высоты) и геометрических параметров (расстояний, углов) точек на земной поверхности."
«Инженерно-экологические изыскания»,"Инженерно-экологические изыскания – это мероприятия по изучению и мониторингу текущего состояния окружающей среды, прогнозирование вероятных негативных изменений экосистемы от социально-экономических факторов и техногенной нагрузки. Выполняются для экологической аргументации строительства или другой хозяйственной деятельности, обеспечения комфортных условий для жизни местного населения, безопасности строений и сооружений, и для предотвращения, снижения или устранения влияния негативных факторов на окружающую природу."
Инженерно-экологические изыскания,"Инженерно-экологические изыскания – это мероприятия по изучению и мониторингу текущего состояния окружающей среды, прогнозирование вероятных негативных изменений экосистемы от социально-экономических факторов и техногенной нагрузки. Выполняются для экологической аргументации строительства или другой хозяйственной деятельности, обеспечения комфортных условий для жизни местного населения, безопасности строений и сооружений, и для предотвращения, снижения или устранения влияния негативных факторов на окружающую природу."
САРП (ARPA)/,"Средства автоматической радиолокационной прокладки (САРП), на английском языке Automatic Radar Plotting Aids (ARPA) — это радиолокационно-вычислительные системы, обеспечивающие автоматическое сопровождение эхо-сигналов целей, первичную и вторичную обработку радиолокационной информации, выдачу судоводителю всех данных, необходимых для непрерывной оценки навигационной ситуации и решения задач обеспечения навигационной безопасности."
На платформе/ ПБУ/ АТКОН,Арктический терминал круглогодичной отгрузки нефти
ПБУ/,Плавучая буровая установка
ГЭЭ/,Государственная экологическая экспертиза
НАСФ/ АСС/ АСФ,Аварийно-спасательная служба/ аварийно-спасательное формирование
АСС/ АСФ,Аварийно-спасательная служба/ аварийно-спасательное формирование
(АСД),Аварийно-спасательное дежурство 
судна АСД,Аварийно-спасательное дежурство 
(КУ/,Комплексное учение
"ТУ,",Тренировочное учение
ТСУ),Тактико-специальное учение
/ТО,Техническое обслуживание
"ТО,",Техническое обслуживание
/SOLAS,Международная конвенция по охране человеческой жизни на море (с англ. Safety of Life at Sea) 
"SOLAS,",Международная конвенция по охране человеческой жизни на море (с англ. Safety of Life at Sea) 
/STCW,Международная конвенция о подготовке и дипломировании моряков и несении вахты
"STCW,",Международная конвенция о подготовке и дипломировании моряков и несении вахты
"АРМ,","Автоматизированное рабочее место, система в которой необходимые для работы программы объединены в одну среду под управлением специализированного программного обеспечения"
/АРМ,"Автоматизированное рабочее место, система в которой необходимые для работы программы объединены в одну среду под управлением специализированного программного обеспечения"
-,-
ОРД/ ДИ,Организационно-распорядительный документ/ Должностная инструкция
Водоохранная зона морей и рек федерального значения,"Водоохранная зона -территории, примыкающаяк береговой линии (границам водного объекта) морей, рек, ручьев, каналов, озер, водохранилищ и на которой устанавливается специальный режим осуществления хозяйственной и иной деятельности в целях предотвращения загрязнения, засорения, заиления указанных водных объектов и истощения их вод, а также сохранения среды обитания водных биологических ресурсов и других объектов животного и растительного мира.
Водоохранная зона рек федерального значения равна 200м, водоохранная зона морей - 500м."
форма Е-1,"Данные о квалификационных отметках членов летного состава гражданской авиации и об их подготовке, требуемой для выполнения полетов, содержащиеся в свидетельстве авиационного персонала."
